,dataset_A,dataset_B
126,10754,10754
127,10767,10767
128,10770,10770
129,10795,10795
130,10809,10809
131,10811,10811
132,10818,10818
133,10855,10855
134,10861,10861
135,10895,10895
136,10925,10925
137,10927,10927
138,10938,10938
139,10941,10941
140,10984,10984
141,10990,10990
142,10993,10993
143,11013,11013
144,11014,11014
145,11041,11041
146,11065,11065
147,11069,11069
148,11081,11081
149,11087,11087
150,11091,11091
151,11116,11116
152,11122,11122
153,11173,11173
154,11182,11182
155,11196,11196
156,11214,11214
157,11219,11219
158,11239,11239
159,11242,11242
160,11263,11263
161,11264,11264
162,11265,11265
163,11309,11309
164,11315,11315
165,11321,11321
166,11327,11327
167,11329,11329
168,11350,11350
169,11356,11356
170,11365,11365
171,11382,11382
172,11398,11398
173,11418,11418
174,11431,11431
175,11437,11437
176,11491,11491
177,11503,11503
178,11522,11522
179,11527,11527
180,11531,11531
181,11537,11537
182,11549,11549
183,11554,11554
184,11562,11562
185,11564,11564
186,11573,11573
187,11593,11593
188,11599,11599
189,11622,11622
190,11628,11628
191,11639,11639
192,11640,11640
193,11651,11651
194,11655,11655
195,11658,11658
196,11662,11662
197,11664,11664
198,11675,11675
199,11683,11683
200,11693,11693
201,11694,11694
202,11703,11703
203,11707,11707
204,11713,11713
205,11715,11715
206,11734,11734
207,11744,11744
208,11764,11764
209,11766,11766
210,11805,11805
211,11821,11821
212,11840,11840
213,11841,11841
214,12215,12215
215,12217,12217
216,12305,12305
217,12632,12632
218,12732,12732
219,12820,12820
220,12908,12908
221,12939,12939
222,13374,13374
223,13631,13631
224,13784,13784
225,13844,13844
226,13870,13870
227,13965,13965
228,14173,14173
229,14255,14255
230,14299,14299
231,14368,14368
232,147527,147527
233,14933,14933
234,14947,14947
235,1520,1520
236,15313,15313
237,15462,15462
238,15557,15557
239,156859,156859
240,156871,156871
241,15707,15707
242,157518,157518
243,158016,158016
244,15816,15816
245,15824,15824
246,158565,158565
247,159251,159251
248,15930,15930
249,159389,159389
250,160792,160792
251,160855,160855
252,16127,16127
253,16134,16134
254,161976,161976
255,162204,162204
256,16269,16269
257,162863,162863
258,16290,16290
259,163244,163244
260,16392,16392
261,164227,164227
262,165433,165433
263,16662,16662
264,166624,166624
265,166663,166663
266,16698,16698
267,167544,167544
268,168033,168033
269,170361,170361
270,170807,170807
271,171739,171739
272,174574,174574
273,175499,175499
274,175561,175561
275,175655,175655
276,175953,175953
277,1762,1762
278,176593,176593
279,176953,176953
280,17931,17931
281,179811,179811
282,17998,17998
283,180389,180389
284,180438,180438
285,180507,180507
286,18074,18074
287,180829,180829
288,18114,18114
289,18151,18151
290,181613,181613
291,182015,182015
292,182773,182773
293,1830,1830
294,18334,18334
295,18356,18356
296,183586,183586
297,18463,18463
298,184765,184765
299,184962,184962
300,18498,18498
301,185093,185093
302,185962,185962
303,1860,1860
304,186267,186267
305,18711,18711
306,18847,18847
307,189425,189425
308,189503,189503
309,189734,189734
310,189881,189881
311,189982,189982
312,19026,19026
313,19033,19033
314,19057,19057
315,191141,191141
316,192439,192439
317,192813,192813
318,193155,193155
319,19364,19364
320,19453,19453
321,19520,19520
322,195201,195201
323,196362,196362
324,198116,198116
325,19826,19826
326,19842,19842
327,198801,198801
328,200147,200147
329,20243,20243
330,203870,203870
331,20389,20389
332,204382,204382
333,206019,206019
334,20674,20674
335,20723,20723
336,207275,207275
337,207429,207429
338,207698,207698
339,207818,207818
340,207954,207954
341,20963,20963
342,20968,20968
343,210292,210292
344,211722,211722
345,21178,21178
346,211876,211876
347,21195,21195
348,212401,212401
349,212987,212987
350,212992,212992
351,213389,213389
352,21342,21342
353,213873,213873
354,216647,216647
355,216845,216845
356,21695,21695
357,21793,21793
358,218021,218021
359,218094,218094
360,218493,218493
361,21868,21868
362,21883,21883
363,219156,219156
364,21995,21995
365,221353,221353
366,221753,221753
367,221929,221929
368,22283,22283
369,22306,22306
370,22365,22365
371,224138,224138
372,22535,22535
373,225549,225549
374,226394,226394
375,22683,22683
376,22723,22723
377,227396,227396
378,22740,22740
379,22884,22884
380,23042,23042
381,232081,232081
382,232527,232527
383,232735,232735
384,232883,232883
385,232890,232890
386,232966,232966
387,233268,233268
388,233477,233477
389,233708,233708
390,233931,233931
391,233939,233939
392,234112,234112
393,234848,234848
394,235105,235105
395,235444,235444
396,235622,235622
397,235927,235927
398,236006,236006
399,236171,236171
400,236329,236329
401,236472,236472
402,236885,236885
403,236942,236942
404,237008,237008
405,237160,237160
406,237170,237170
407,237226,237226
408,237273,237273
409,237491,237491
410,237971,237971
411,238241,238241
412,238242,238242
413,238301,238301
414,238848,238848
415,239013,239013
416,239138,239138
417,23945,23945
418,239461,239461
419,240081,240081
420,240311,240311
421,240515,240515
422,240722,240722
423,240746,240746
424,240762,240762
425,240933,240933
426,241034,241034
427,241130,241130
428,241609,241609
429,241671,241671
430,241865,241865
431,24205,24205
432,242578,242578
433,242661,242661
434,242696,242696
435,243086,243086
436,243114,243114
437,243420,243420
438,243472,243472
439,24422,24422
440,244384,244384
441,244430,244430
442,244869,244869
443,24487,24487
444,24488,24488
445,244888,244888
446,244917,244917
447,245173,245173
448,245268,245268
449,245276,245276
450,245389,245389
451,245885,245885
452,245931,245931
453,246074,246074
454,246090,246090
455,246197,246197
456,246207,246207
457,246311,246311
458,247264,247264
459,247746,247746
460,247873,247873
461,247933,247933
462,247963,247963
463,24800,24800
464,248017,248017
465,248589,248589
466,24876,24876
467,248760,248760
468,248839,248839
469,248981,248981
470,249618,249618
471,249637,249637
472,249650,249650
473,249717,249717
474,249721,249721
475,249787,249787
476,249829,249829
477,249858,249858
478,249867,249867
479,249998,249998
480,250120,250120
481,250195,250195
482,250239,250239
483,250336,250336
484,250404,250404
485,250425,250425
486,250460,250460
487,250484,250484
488,250587,250587
489,250634,250634
490,250893,250893
491,250911,250911
492,250982,250982
493,251072,251072
494,251076,251076
495,251099,251099
496,25111,25111
497,251156,251156
498,251177,251177
499,251199,251199
500,251308,251308
501,251465,251465
502,251579,251579
503,251673,251673
504,251870,251870
505,25273,25273
506,25395,25395
507,254439,254439
508,254914,254914
509,25634,25634
510,256582,256582
511,256632,256632
512,257439,257439
513,262507,262507
514,262688,262688
515,262775,262775
516,263472,263472
517,263710,263710
518,26474,26474
519,265272,265272
520,265408,265408
521,265439,265439
522,265456,265456
523,265662,265662
524,26572,26572
525,265823,265823
526,26632,26632
527,26635,26635
528,266540,266540
529,267133,267133
530,267222,267222
531,267296,267296
532,267724,267724
533,267733,267733
534,267769,267769
535,267803,267803
536,267833,267833
537,267918,267918
538,26794,26794
539,268008,268008
540,268056,268056
541,268104,268104
542,268346,268346
543,268355,268355
544,268400,268400
545,268435,268435
546,26897,26897
547,27023,27023
548,27031,27031
549,27106,27106
550,27263,27263
551,27629,27629
552,27657,27657
553,27730,27730
554,27887,27887
555,28324,28324
556,284191,284191
557,285918,285918
558,29017,29017
559,29165,29165
560,29462,29462
561,29558,29558
562,29648,29648
563,29653,29653
564,29758,29758
565,29841,29841
566,29905,29905
567,299650,299650
568,29990,29990
569,29992,29992
570,301047,301047
571,301149,301149
572,30123,30123
573,301237,301237
574,30149,30149
575,30178,30178
576,301795,301795
577,302673,302673
578,30414,30414
579,30474,30474
580,305285,305285
581,30550,30550
582,305570,305570
583,306087,306087
584,30647,30647
585,307147,307147
586,307310,307310
587,307498,307498
588,307884,307884
589,308322,308322
590,30863,30863
591,31018,31018
592,31036,31036
593,31131,31131
594,31132,31132
595,314378,314378
596,31465,31465
597,31474,31474
598,316773,316773
599,316783,316783
600,31728,31728
601,317690,317690
602,317725,317725
603,317727,317727
604,317769,317769
605,31804,31804
606,318164,318164
607,31848,31848
608,319214,319214
609,319557,319557
610,319703,319703
611,319842,319842
612,319868,319868
613,320324,320324
614,320342,320342
615,320450,320450
616,320577,320577
617,320710,320710
618,320755,320755
619,320762,320762
620,321788,321788
621,32182,32182
622,321934,321934
623,322254,322254
624,32258,32258
625,322798,322798
626,322867,322867
627,323004,323004
628,323157,323157
629,323471,323471
630,324362,324362
631,32767,32767
632,329425,329425
633,329898,329898
634,330289,330289
635,331391,331391
636,33242,33242
637,33245,33245
638,333200,333200
639,333244,333244
640,333817,333817
641,334100,334100
642,33588,33588
643,33862,33862
644,34101,34101
645,342162,342162
646,342338,342338
647,342427,342427
648,342435,342435
649,342471,342471
650,342514,342514
651,342723,342723
652,343241,343241
653,344940,344940
654,345601,345601
655,34605,34605
656,34724,34724
657,34732,34732
658,34861,34861
659,349737,349737
660,349762,349762
661,349774,349774
662,349817,349817
663,349899,349899
664,349990,349990
665,350020,350020
666,350138,350138
667,350160,350160
668,350180,350180
669,350195,350195
670,350248,350248
671,350275,350275
672,350293,350293
673,350314,350314
674,350428,350428
675,35048,35048
676,350501,350501
677,350565,350565
678,350567,350567
679,350569,350569
680,350580,350580
681,350607,350607
682,350832,350832
683,350868,350868
684,350893,350893
685,350935,350935
686,351086,351086
687,351089,351089
688,351457,351457
689,351530,351530
690,351593,351593
691,351615,351615
692,351628,351628
693,351675,351675
694,351756,351756
695,351817,351817
696,351846,351846
697,351931,351931
698,35206,35206
699,352070,352070
700,352175,352175
701,352203,352203
702,352222,352222
703,352258,352258
704,352357,352357
705,352371,352371
706,352392,352392
707,352406,352406
708,352557,352557
709,352768,352768
710,352771,352771
711,352781,352781
712,352784,352784
713,352861,352861
714,352899,352899
715,352963,352963
716,352967,352967
717,352987,352987
718,353023,353023
719,353051,353051
720,353139,353139
721,353172,353172
722,354080,354080
723,354101,354101
724,354186,354186
725,354236,354236
726,354238,354238
727,354556,354556
728,354576,354576
729,355228,355228
730,355289,355289
731,35593,35593
732,356207,356207
733,356540,356540
734,356560,356560
735,35658,35658
736,356856,356856
737,356936,356936
738,356996,356996
739,35713,35713
740,357140,357140
741,357441,357441
742,35782,35782
743,357980,357980
744,358004,358004
745,358042,358042
746,358055,358055
747,358189,358189
748,358462,358462
749,358505,358505
750,358670,358670
751,35875,35875
752,359045,359045
753,359046,359046
754,359291,359291
755,359324,359324
756,359647,359647
757,359886,359886
758,359993,359993
759,360124,360124
760,360177,360177
761,36056,36056
762,360841,360841
763,360948,360948
764,360950,360950
765,36110,36110
766,361157,361157
767,361283,361283
768,36182,36182
769,362175,362175
770,362332,362332
771,362482,362482
772,36259,36259
773,362642,362642
774,36296,36296
775,363296,363296
776,363339,363339
777,36346,36346
778,36358,36358
779,363582,363582
780,363733,363733
781,363924,363924
782,363980,363980
783,36493,36493
784,36533,36533
785,36534,36534
786,366055,366055
787,366078,366078
788,366553,366553
789,366891,366891
790,366905,366905
791,366922,366922
792,366939,366939
793,366949,366949
794,366950,366950
795,366984,366984
796,366991,366991
797,367007,367007
798,367042,367042
799,367072,367072
800,367179,367179
801,367265,367265
802,367316,367316
803,367340,367340
804,367405,367405
805,367461,367461
806,367482,367482
807,367483,367483
808,367489,367489
809,367542,367542
810,367543,367543
811,367594,367594
812,367661,367661
813,367743,367743
814,367745,367745
815,367751,367751
816,367756,367756
817,367950,367950
818,367970,367970
819,367982,367982
820,368054,368054
821,368101,368101
822,368108,368108
823,368152,368152
824,368188,368188
825,368226,368226
826,368234,368234
827,368246,368246
828,368271,368271
829,368276,368276
830,368374,368374
831,368564,368564
832,368583,368583
833,368661,368661
834,368751,368751
835,368866,368866
836,368889,368889
837,368963,368963
838,369084,369084
839,36918,36918
840,369212,369212
841,369225,369225
842,369235,369235
843,369330,369330
844,369469,369469
845,369518,369518
846,369572,369572
847,369712,369712
848,369764,369764
849,369841,369841
850,369896,369896
851,370032,370032
852,370040,370040
853,370154,370154
854,370171,370171
855,370262,370262
856,370341,370341
857,370452,370452
858,370517,370517
859,370579,370579
860,371062,371062
861,37220,37220
862,37345,37345
863,373833,373833
864,374542,374542
865,37685,37685
866,37924,37924
867,38235,38235
868,383970,383970
869,384067,384067
870,385398,385398
871,38745,38745
872,38771,38771
873,39373,39373
874,39472,39472
875,39489,39489
876,39565,39565
877,39634,39634
878,39653,39653
879,39710,39710
880,397968,397968
881,398021,398021
882,399101,399101
883,40049,40049
884,40050,40050
885,40171,40171
886,40381,40381
887,40390,40390
888,40450,40450
889,404825,404825
890,404975,404975
891,40524,40524
892,40540,40540
893,406611,406611
894,40728,40728
895,40919,40919
896,41023,41023
897,41147,41147
898,41214,41214
899,412945,412945
900,41420,41420
901,414227,414227
902,414332,414332
903,41498,41498
904,41921,41921
905,420,420
906,42025,42025
907,42145,42145
908,421624,421624
909,421637,421637
910,421737,421737
911,42403,42403
912,42509,42509
913,42510,42510
914,42565,42565
915,42570,42570
916,42633,42633
917,43181,43181
918,43244,43244
919,43360,43360
920,43366,43366
921,43374,43374
922,43408,43408
923,43827,43827
924,43987,43987
925,44045,44045
926,44587,44587
927,45194,45194
928,45348,45348
929,46158,46158
930,46281,46281
931,46391,46391
932,46534,46534
933,46912,46912
934,47069,47069
935,47598,47598
936,47699,47699
937,47862,47862
938,47980,47980
939,48218,48218
940,48344,48344
941,48347,48347
942,48398,48398
943,48657,48657
944,48818,48818
945,48828,48828
946,48923,48923
947,49106,49106
948,49260,49260
949,49386,49386
950,49681,49681
951,49697,49697
952,49861,49861
953,50256,50256
954,50304,50304
955,50606,50606
956,50832,50832
957,51127,51127
958,51284,51284
959,51366,51366
960,51663,51663
961,51856,51856
962,52211,52211
963,52260,52260
964,52302,52302
965,52324,52324
966,52530,52530
967,52638,52638
968,52726,52726
969,53026,53026
970,53031,53031
971,53043,53043
972,53654,53654
973,53805,53805
974,53829,53829
975,54534,54534
976,54955,54955
977,55223,55223
978,55246,55246
979,55505,55505
980,55705,55705
981,55916,55916
982,55937,55937
983,56719,56719
984,56744,56744
985,56755,56755
986,56804,56804
987,56858,56858
988,56876,56876
989,56946,56946
990,57197,57197
991,57207,57207
992,57398,57398
993,57502,57502
994,57575,57575
995,57886,57886
996,57997,57997
997,58003,58003
998,58466,58466
999,59232,59232
1000,59260,59260
1001,59895,59895
1002,60050,60050
1003,60268,60268
1004,60276,60276
1005,60471,60471
1006,60605,60605
1007,60866,60866
1008,60969,60969
1009,60973,60973
1010,61283,61283
1011,61460,61460
1012,61608,61608
1013,61647,61647
1014,61861,61861
1015,61988,61988
1016,62030,62030
1017,62610,62610
1018,62620,62620
1019,62636,62636
1020,62640,62640
1021,62740,62740
1022,62895,62895
1023,632,632
1024,63277,63277
1025,63477,63477
1026,63495,63495
1027,63800,63800
1028,64151,64151
1029,64418,64418
1030,64612,64612
1031,64630,64630
1032,64922,64922
1033,64954,64954
1034,65162,65162
1035,65336,65336
1036,65352,65352
1037,65390,65390
1038,65463,65463
1039,65543,65543
1040,65626,65626
1041,65656,65656
1042,66091,66091
1043,66236,66236
1044,66368,66368
1045,66593,66593
1046,66695,66695
1047,66788,66788
1048,66844,66844
1049,66984,66984
1050,67006,67006
1051,67070,67070
1052,67494,67494
1053,67945,67945
1054,68165,68165
1055,68188,68188
1056,68199,68199
1057,68380,68380
1058,68806,68806
1059,68842,68842
1060,69028,69028
1061,69193,69193
1062,69385,69385
1063,69473,69473
1064,69731,69731
1065,69975,69975
1066,70054,70054
1067,70059,70059
1068,70065,70065
1069,7026,7026
1070,70463,70463
1071,70470,70470
1072,70569,70569
1073,70932,70932
1074,70963,70963
1075,71073,71073
1076,71074,71074
1077,71086,71086
1078,71240,71240
1079,71357,71357
1080,71701,71701
1081,71861,71861
1082,71964,71964
1083,72033,72033
1084,72123,72123
1085,72571,72571
1086,72603,72603
1087,72868,72868
1088,72983,72983
1089,73210,73210
1090,7324,7324
1091,73301,73301
1092,73527,73527
1093,73997,73997
1094,74037,74037
1095,74423,74423
1096,74522,74522
1097,74706,74706
1098,74874,74874
1099,74942,74942
1100,74965,74965
1101,74967,74967
1102,75378,75378
1103,75606,75606
1104,75618,75618
1105,75706,75706
1106,75803,75803
1107,76012,76012
1108,76069,76069
1109,76189,76189
1110,76210,76210
1111,76313,76313
1112,76579,76579
1113,76615,76615
1114,76741,76741
1115,76862,76862
1116,76901,76901
1117,77019,77019
1118,77071,77071
1119,77100,77100
1120,77209,77209
1121,77257,77257
1122,77472,77472
1123,77580,77580
1124,78080,78080
1125,78140,78140
1126,78153,78153
1127,78251,78251
1128,78460,78460
1129,78510,78510
1130,78890,78890
1131,78918,78918
1132,79008,79008
1133,79151,79151
1134,80296,80296
1135,80333,80333
1136,80352,80352
1137,80892,80892
1138,80893,80893
1139,80918,80918
1140,81004,81004
1141,81625,81625
1142,82007,82007
1143,82251,82251
1144,8628,8628
1145,8643,8643
1146,8647,8647
1147,8652,8652
1148,8694,8694
1149,8698,8698
1150,8746,8746
1151,8747,8747
1152,8764,8764
1153,8779,8779
1154,87945,87945
1155,87968,87968
1156,8806,8806
1157,88157,88157
1158,8824,8824
1159,8830,8830
1160,8836,8836
1161,8885,8885
1162,8896,8896
1163,8900,8900
1164,8903,8903
1165,8904,8904
1166,8911,8911
1167,8916,8916
1168,89298,89298
1169,8932,8932
1170,8935,8935
1171,89611,89611
1172,8971,8971
1173,89739,89739
1174,8998,8998
1175,90085,90085
1176,90153,90153
1177,9041,9041
1178,9059,9059
1179,9064,9064
1180,9075,9075
1181,9097,9097
1182,9126,9126
1183,9154,9154
1184,91559,91559
1185,9170,9170
1186,9172,9172
1187,9182,9182
1188,9184,9184
1189,9190,9190
1190,9198,9198
1191,9209,9209
1192,9214,9214
1193,9226,9226
1194,9237,9237
1195,9238,9238
1196,9240,9240
1197,9244,9244
1198,9266,9266
1199,9274,9274
1200,9294,9294
1201,92972,92972
1202,9318,9318
1203,9322,9322
1204,9323,9323
1205,9349,9349
1206,93562,93562
1207,9358,9358
1208,9366,9366
1209,9386,9386
1210,93875,93875
1211,9411,9411
1212,9412,9412
1213,9429,9429
1214,94376,94376
1215,9440,9440
1216,94516,94516
1217,94576,94576
1218,9479,9479
1219,9489,9489
1220,9495,9495
1221,9512,9512
1222,9515,9515
1223,9542,9542
1224,9545,9545
1225,9568,9568
1226,9585,9585
1227,9590,9590
1228,95969,95969
1229,9605,9605
1230,9624,9624
1231,9630,9630
1232,9651,9651
1233,9653,9653
1234,9676,9676
1235,9698,9698
1236,9702,9702
1237,9713,9713
1238,9760,9760
1239,9779,9779
1240,9789,9789
1241,9791,9791
1242,9853,9853
1243,9865,9865
1244,9883,9883
1245,9918,9918
1246,9922,9922
1247,9928,9928
1248,9935,9935
1249,9946,9946
1250,9951,9951
1251,9965,9965
1252,9973,9973
1253,9979,9979
1254,9982,9982
1255,9988,9988
1256,99892,99892
1257,246758,28241
1258,228349,66234
1259,50451,302114
1260,227845,305556
1261,228899,24509
1262,305149,229516
1263,231372,53283
1264,45532,10173
1265,206473,22761
1266,245115,315399
1267,200236,51731
1268,199380,66169
1269,211201,230379
1270,208445,38368
1271,268199,197679
1272,203487,46109
1273,216995,68926
1274,221205,68546
1275,200324,59823
1276,32124,189007
1277,214144,67733
1278,214745,49078
1279,44226,227030
1280,201371,72276
1281,204892,41141
1282,220927,66113
1283,185964,69598
1284,51210,189049
1285,195299,51688
1286,26390,183720
1287,76796,220966
1288,393092,238731
1289,227542,64679
1290,230168,50295
1291,185031,9279
1292,221187,68721
1293,266635,70035
1294,31538,219984
1295,207582,76381
1296,205825,14061
1297,222801,17454
1298,211000,27982
1299,396374,267662
1300,48649,211737
1301,16525,9629
1302,230993,60914
1303,9882,264569
1304,48030,231023
1305,182974,302797
1306,37937,188921
1307,267176,234184
1308,375349,191405
1309,251461,303604
1310,200057,25753
1311,251170,19248
1312,242874,303953
1313,39163,9989
1314,20503,214492
1315,204888,51326
1316,63820,250633
1317,194557,24165
1318,198738,71431
1319,35260,222904
1320,220782,75440
1321,73596,188872
1322,39939,9073
1323,202573,58409
1324,191583,65487
1325,17641,208171
1326,247399,27617
1327,42828,251084
1328,187792,41917
1329,20121,267226
1330,39674,44644
1331,45407,10758
1332,36560,220548
1333,224320,17455
1334,224776,22889
1335,62495,205474
1336,225838,76411
1337,37745,10779
1338,373969,210104
1339,247499,37198
1340,44399,9715
1341,304777,332946
1342,17013,9801
1343,10814,36761
1344,36032,10721
1345,308661,39199
1346,59430,249866
1347,24653,10248
1348,189817,24278
1349,43456,47545
1350,304888,13999
1351,34193,302314
1352,306030,52385
1353,59373,306295
1354,17206,198588
1355,76963,306650
1356,216636,41362
1357,250956,65911
1358,205549,11885
1359,11126,170770
1360,8790,63360
1361,61849,11817
1362,10447,35144
1363,219057,12084
1364,24700,302807
1365,226134,39391
1366,8832,48166
1367,12806,8953
1368,70812,306270
1369,8786,14300
1370,36627,203631
1371,57051,195210
1372,216178,15477
1373,213450,52454
1374,14504,304119
1375,307685,17051
1376,184317,56080
1377,33979,11141
1378,37532,302724
1379,52563,219903
1380,251322,58456
1381,72110,228766
1382,28322,10406
1383,36474,315475
1384,28249,170487
1385,29147,9469
1386,302900,26189
1387,71252,307620
1388,23162,10363
1389,245576,9805
1390,225404,29114
1391,72898,10265
1392,301959,10944
1393,10831,162704
1394,243998,188824
1395,301727,9852
1396,184268,49100
1397,33056,202073
1398,301667,72094
1399,62172,9308
1400,76099,237333
1401,56377,213915
1402,37406,196386
1403,77722,215683
1404,42946,11052
1405,198187,46024
1406,29679,251082
1407,304645,40931
1408,37897,249751
1409,22446,244932
1410,53594,185360
1411,231150,62834
1412,207972,39280
1413,55467,195894
1414,20983,221878
1415,41847,250026
1416,378052,385932
1417,78060,11729
1418,10096,76801
1419,70304,10021
1420,249604,9721
1421,49130,218984
1422,283721,235801
1423,38834,196546
1424,10129,39912
1425,55982,10334
1426,68637,305905
1427,424588,365353
1428,58746,231650
1429,11632,42036
1430,228641,70077
1431,421842,229441
1432,73211,9530
1433,265511,238733
1434,302710,397064
1435,23729,231769
1436,303053,17170
1437,69660,204299
1438,74850,235324
1439,9193,26284
1440,243316,51061
1441,64303,301930
1442,385372,382896
1443,30422,9842
1444,38860,304721
1445,304132,62041
1446,251557,334211
1447,220140,37899
1448,78743,55095
1449,324632,194057
1450,10067,19445
1451,68891,225857
1452,183781,250137
1453,79339,250688
1454,219624,51871
1455,333519,228743
1456,302112,52198
1457,55110,214898
1458,230719,29468
1459,306895,50305
1460,377128,384859
1461,187669,44847
1462,195028,29208
1463,385622,374609
1464,226418,14306
1465,198709,38645
1466,37976,197582
1467,384905,377224
1468,27659,307561
1469,18066,189256
1470,201733,29737
1471,10845,166111
1472,220387,39763
1473,11083,73002
1474,365392,249051
1475,201549,36140
1476,234508,266256
1477,377599,385949
1478,30415,10962
1479,386304,374679
1480,42567,215048
1481,235917,412296
1482,16274,209978
1483,224362,61232
1484,16510,218811
1485,305857,36366
1486,212152,49038
1487,76527,307439
1488,21925,225356
1489,337290,17350
1490,22696,192347
1491,333226,229356
1492,225196,74657
1493,71034,249792
1494,29442,222039
1495,11987,212572
1496,229374,248379
1497,62071,218364
1498,386393,381988
1499,25387,196154
1500,251490,76695
1501,75218,209986
1502,55670,301948
1503,306609,47670
1504,302516,24014
1505,72122,212650
1506,59130,203847
1507,45468,308964
1508,65884,194256
1509,324917,301445
1510,36409,191508
1511,42123,306819
1512,35528,220459
1513,212634,70129
1514,38924,421094
1515,62389,204223
1516,208103,25823
1517,379805,384834
1518,65529,11848
1519,29023,366469
1520,65872,307623
1521,209027,34834
1522,50847,187667
1523,73378,307085
1524,56570,164169
1525,221465,24934
1526,24842,308005
1527,225672,225236
1528,199590,41564
1529,247193,264943
1530,299544,66161
1531,385406,380783
1532,29866,264374
1533,246806,228412
1534,74573,216449
1535,251483,26155
1536,45006,334019
1537,224368,308809
1538,395455,248035
1539,65791,196046
1540,225535,37801
1541,301893,405354
1542,264440,235900
1543,58836,11832
1544,52052,204785
1545,39398,10812
1546,60505,206943
1547,41953,230893
1548,374886,23487
1549,22192,251060
1550,195580,262532
1551,9710,40689
1552,20212,185016
1553,49257,250710
1554,194637,39367
1555,221378,65532
1556,61374,13474
1557,68948,35373
1558,23953,221480
1559,250016,56607
1560,189168,47294
1561,305798,56114
1562,185347,49958
1563,17369,250883
1564,46724,221947
1565,53407,196218
1566,20577,301431
1567,223329,43561
1568,208876,75405
1569,12295,186129
1570,20346,206904
1571,16674,201717
1572,188636,267121
1573,41594,216357
1574,27758,224090
1575,59280,196427
1576,51697,210264
1577,220786,58338
1578,70684,220052
1579,41490,196848
1580,187020,47024
1581,22270,199393
1582,198751,17370
1583,21919,242607
1584,201586,41351
1585,38016,221735
1586,192155,55384
1587,20696,195967
1588,33517,204807
1589,31217,217426
1590,70657,203647
1591,187340,70507
1592,214480,50217
1593,209644,55031
1594,24988,215748
1595,49340,212490
1596,27538,215754
1597,204780,58647
1598,229825,73511
1599,208562,73734
1600,213120,67653
1601,226137,73975
1602,204435,38419
1603,206815,40179
1604,209191,37579
1605,388970,244084
1606,268604,394030
1607,214786,31503
1608,37353,199858
1609,68962,198549
1610,24764,208342
1611,213940,40606
1612,226221,33800
1613,54671,217689
1614,31208,11442
1615,231531,32152
1616,268274,44598
1617,211583,26863
1618,15197,249943
1619,209208,28790
1620,219580,30217
1621,36288,201781
1622,41924,218987
1623,19430,304417
1624,60311,221605
1625,3535,125480
1626,321872,342476
1627,343461,320092
1628,322058,342223
1629,202442,59525
1630,342771,318107
1631,66050,307627
1632,317748,342892
1633,265838,234335
1634,333356,338985
1635,23973,215982
1636,381117,232717
1637,224511,46450
1638,77720,21933
1639,22101,221099
1640,34458,185446
1641,197282,42860
1642,420164,378470
1643,186236,31510
1644,222236,51196
1645,333809,64267
1646,232089,192127
1647,228342,10980
1648,198419,157407
1649,66731,184440
1650,31939,304779
1651,250092,73759
1652,14845,307517
1653,74508,305009
1654,29851,229905
1655,9501,166942
1656,10195,47466
1657,218470,47520
1658,197692,18240
1659,218172,61651
1660,227290,63143
1661,187951,73248
1662,14986,185490
1663,65215,215917
